ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
619238090,Audio,Pygmy Cupwing (Pygmy Wren-babbler),Pnoepyga pusilla,Heterophasia gracilis -- Grey Sibia,Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",Song,Unspecified,"","",,,ZOOM H2N,,,,S170479116,Unconfirmed,,,,Unique call,Pnoepyga pusilla,pywbab1,Species,23574,,3.00,1,"",,
619238001,Audio,Spotted Elachura (Spotted Wren-Babbler),Elachura formosa,"Cuculus micropterus -- Indian Cuckoo; Arborophila rufogularis -- Rufous-throated Partridge",Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",Song,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,ne unknown kyaak-kyaak call,,Elachura formosa,spwbab1,Species,27194,,4.00,1,"",,
619238003,Audio,Spotted Elachura (Spotted Wren-Babbler),Elachura formosa,"Heterophasia gracilis -- Grey Sibia; Hierococcyx sparverioides -- Large Hawk-Cuckoo; Psilopogon asiaticus -- Blue-throated Barbet; Cuculus canorus -- Common Cuckoo; Arborophila rufogularis -- Rufous-throated Partridge",Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",Song,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,one unknown kyaak-kyaak call,,Elachura formosa,spwbab1,Species,27194,,4.00,1,"",,
619237998,Audio,Spotted Elachura (Spotted Wren-Babbler),Elachura formosa,"Cuculus canorus -- Common Cuckoo; Psilopogon asiaticus -- Blue-throated Barbet; Heterophasia gracilis -- Grey Sibia",Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",Song,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,,,Elachura formosa,spwbab1,Species,27194,,3.00,1,"",,
619237997,Audio,Spotted Elachura (Spotted Wren-Babbler),Elachura formosa,"Cuculus canorus -- Common Cuckoo; Psilopogon asiaticus -- Blue-throated Barbet; Psilopogon franklinii -- Golden-throated Barbet",Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",Song,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,,,Elachura formosa,spwbab1,Species,27194,,3.00,1,"",,
619237996,Audio,Spotted Elachura (Spotted Wren-Babbler),Elachura formosa,Heterophasia gracilis -- Grey Sibia,Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",Song,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,,,Elachura formosa,spwbab1,Species,27194,,4.00,1,"",,
619237953,Audio,bird sp.,Aves sp.,,Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,,,Aves sp.,bird1,Spuh,35293,,.00,0,,,
619237954,Audio,bird sp.,Aves sp.,"Rhipidura albicollis -- White-throated Fantail; Cuculus micropterus -- Indian Cuckoo",Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,ASSAM LAUGHINGTHRUSH?,,Aves sp.,bird1,Spuh,35293,,2.00,1,,,
619237955,Audio,bird sp.,Aves sp.,"Arborophila rufogularis -- Rufous-throated Partridge; Cuculus micropterus -- Indian Cuckoo",Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,,,Aves sp.,bird1,Spuh,35293,,.00,0,,,
619237910,Audio,Grey Sibia,Heterophasia gracilis,"Cuculus canorus -- Common Cuckoo; Cuculus micropterus -- Indian Cuckoo",Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,,,Heterophasia gracilis,grysib1,Species,26062,,3.00,1,,,
619237911,Audio,Grey Sibia,Heterophasia gracilis,"Cuculus canorus -- Common Cuckoo; Cuculus micropterus -- Indian Cuckoo; Leiothrix argentauris -- Silver-eared Mesia",Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,,,Heterophasia gracilis,grysib1,Species,26062,,3.00,1,,,
619237865,Audio,Silver-eared Mesia,Leiothrix argentauris,"Pellorneum ruficeps -- Puff-throated Babbler; Hierococcyx sparverioides -- Large Hawk-Cuckoo; Cuculus micropterus -- Indian Cuckoo; Cuculus canorus -- Common Cuckoo",Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",Song,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,,,Leiothrix argentauris,siemes1,Species,26119,,3.00,1,"",,
619237864,Audio,Silver-eared Mesia,Leiothrix argentauris,"Phyllergates cucullatus -- Mountain Tailorbird; Pellorneum ruficeps -- Puff-throated Babbler",Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",Song,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,,,Leiothrix argentauris,siemes1,Species,26119,,5.00,1,"",,
619237863,Audio,Silver-eared Mesia,Leiothrix argentauris,Cuculus canorus -- Common Cuckoo,Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,,,Leiothrix argentauris,siemes1,Species,26119,,3.00,1,,,
619237825,Audio,White-throated Fantail,Rhipidura albicollis,Pellorneum ruficeps -- Puff-throated Babbler,Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",Call,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,,,Rhipidura albicollis,whtfan1,Species,19900,,2.00,1,"",,
619237806,Audio,Common Cuckoo,Cuculus canorus,"Heterophasia gracilis -- Grey Sibia; Phylloscopus xanthoschistos -- Grey-hooded Warbler",Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,,,Cuculus canorus,comcuc,Species,3421,,.00,0,,,
619237805,Audio,Common Cuckoo,Cuculus canorus,Phylloscopus xanthoschistos -- Grey-hooded Warbler,Sandip Das,2024-04-22,2024,4,22,624,India,IN-MZ-AI,Mizoram,Aizawl,"Sailam Road, Aizawl, Mizoram, IN (23.381, 92.754)",23.3807494,92.7541743,"",,Unspecified,"","",,,ZOOM H2N,,,,S170479116,"",,,,,Cuculus canorus,comcuc,Species,3421,,2.00,1,,,
619234136,Audio,Blue-winged Leafbird (Blue-winged Chloropsis),Chloropsis moluccensis,,Sandip Das,2024-04-22,2024,4,22,551,India,IN-MZ-AI,Mizoram,Aizawl,"Sialsuk, Mizoram, IN (23.393, 92.758)",23.3927583,92.7575546,"",,Unspecified,"","",,,,,,,S170470493,"",,,,,Chloropsis moluccensis,blwlea1,Species,30152,,.00,0,,,
619231367,Audio,Striated Yuhina,Staphida castaniceps,"Hypothymis azurea -- Black-naped Monarch; Culicicapa ceylonensis -- Grey-headed Canary-Flycatcher",Sandip Das,2024-04-22,2024,4,22,551,India,IN-MZ-AI,Mizoram,Aizawl,"Sialsuk, Mizoram, IN (23.393, 92.758)",23.3927583,92.7575546,"",,Unspecified,"","",,,ZOOM H2N,,,,S170470493,"",,,,,Staphida castaniceps,stryuh1,Species,25090,,.00,0,,,
619231366,Audio,Striated Yuhina,Staphida castaniceps,,Sandip Das,2024-04-22,2024,4,22,551,India,IN-MZ-AI,Mizoram,Aizawl,"Sialsuk, Mizoram, IN (23.393, 92.758)",23.3927583,92.7575546,"",,Unspecified,"","",,,ZOOM H2N,,,,S170470493,"",,,,,Staphida castaniceps,stryuh1,Species,25090,,2.00,1,,,
619231294,Audio,bird sp.,Aves sp.,,Sandip Das,2024-04-22,2024,4,22,551,India,IN-MZ-AI,Mizoram,Aizawl,"Sialsuk, Mizoram, IN (23.393, 92.758)",23.3927583,92.7575546,"",,Unspecified,"","",,,ZOOM H2N,,,,S170470493,"",,,,,Aves sp.,bird1,Spuh,35293,,.00,0,,,
619231292,Audio,Grey-headed Canary-Flycatcher,Culicicapa ceylonensis,,Sandip Das,2024-04-22,2024,4,22,551,India,IN-MZ-AI,Mizoram,Aizawl,"Sialsuk, Mizoram, IN (23.393, 92.758)",23.3927583,92.7575546,"",,Unspecified,"","",,,ZOOM H2N,,,,S170470493,"",,,,,Culicicapa ceylonensis,gyhcaf1,Species,21536,,.00,0,,,
619231297,Audio,Grey-headed Canary-Flycatcher,Culicicapa ceylonensis,"Psilopogon virens -- Great Barbet; Phylloscopus xanthoschistos -- Grey-hooded Warbler",Sandip Das,2024-04-22,2024,4,22,551,India,IN-MZ-AI,Mizoram,Aizawl,"Sialsuk, Mizoram, IN (23.393, 92.758)",23.3927583,92.7575546,"",,Unspecified,"","",,,ZOOM H2N,,,,S170470493,"",,,,,Culicicapa ceylonensis,gyhcaf1,Species,21536,,.00,0,,,
619231293,Audio,Black-naped Monarch,Hypothymis azurea,Chloropsis moluccensis -- Blue-winged Leafbird (Blue-winged Chloropsis),Sandip Das,2024-04-22,2024,4,22,551,India,IN-MZ-AI,Mizoram,Aizawl,"Sialsuk, Mizoram, IN (23.393, 92.758)",23.3927583,92.7575546,"",Song,Unspecified,"","",,,ZOOM H2N,,,,S170470493,"",,,BIRD NOT SEEN,,Hypothymis azurea,blnmon1,Species,20297,,.00,0,"",,
619231291,Audio,Flavescent Bulbul,Pycnonotus flavescens,,Sandip Das,2024-04-22,2024,4,22,551,India,IN-MZ-AI,Mizoram,Aizawl,"Sialsuk, Mizoram, IN (23.393, 92.758)",23.3927583,92.7575546,"",,Unspecified,"","",,,ZOOM H2N,,,,S170470493,"",,,MAIN CALL IS UNKNOWN,,Pycnonotus flavescens,flabul1,Species,24278,,.00,0,,,
619231247,Audio,Rufescent Prinia,Prinia rufescens,Psilopogon asiaticus -- Blue-throated Barbet,Sandip Das,2024-04-22,2024,4,22,551,India,IN-MZ-AI,Mizoram,Aizawl,"Sialsuk, Mizoram, IN (23.393, 92.758)",23.3927583,92.7575546,"",,Unspecified,"","",,,ZOOM H2N,,,,S170470493,"",,,,,Prinia rufescens,rufpri1,Species,22816,,3.00,1,,,
619231208,Audio,Silver-eared Mesia,Leiothrix argentauris,,Sandip Das,2024-04-22,2024,4,22,551,India,IN-MZ-AI,Mizoram,Aizawl,"Sialsuk, Mizoram, IN (23.393, 92.758)",23.3927583,92.7575546,"",,Unspecified,"","",,,ZOOM H2N,,,,S170470493,"",,,,,Leiothrix argentauris,siemes1,Species,26119,,3.00,1,,,
619230008,Audio,Silver-eared Mesia,Leiothrix argentauris,"Cuculus canorus -- Common Cuckoo; Eumyias thalassinus -- Verditer Flycatcher",Sandip Das,2024-04-22,2024,4,22,453,India,IN-MZ-AI,Mizoram,Aizawl,Hmuifang,23.4531431,92.7528906,"",Song,Unspecified,"","",,,ZOOM H2N,,,,S170470283,"",,,,,Leiothrix argentauris,siemes1,Species,26119,,3.00,1,"",,
619229976,Audio,Verditer Flycatcher,Eumyias thalassinus,Cuculus canorus -- Common Cuckoo,Sandip Das,2024-04-22,2024,4,22,453,India,IN-MZ-AI,Mizoram,Aizawl,Hmuifang,23.4531431,92.7528906,"",,Unspecified,"","",,,ZOOM H2N,,,,S170470283,Unconfirmed,,,,Photo,Eumyias thalassinus,verfly4,Species,28590,,3.00,1,,,
619229961,Audio,Common Cuckoo,Cuculus canorus,"Eumyias thalassinus -- Verditer Flycatcher; Brachypteryx leucophris -- Lesser Shortwing",Sandip Das,2024-04-22,2024,4,22,453,India,IN-MZ-AI,Mizoram,Aizawl,Hmuifang,23.4531431,92.7528906,"",Song,Unspecified,"","",,,ZOOM H2N,,,,S170470283,"",,,,,Cuculus canorus,comcuc,Species,3421,,2.00,1,"",,
619226083,Audio,Asian Palm Swift,Cypsiurus balasiensis,,Arulvelan Thillainayagam,2024-04-13,2024,4,13,654,India,IN-TN-TP,Tamil Nadu,Tiruppur,Uppar Dam உப்பாறு அணை,10.7860840,77.4105477,"",,Unspecified,"","",,,,,,,S168329622,"",,,,,Cypsiurus balasiensis,aspswi1,Species,4149,,.00,0,,,
619219895,Audio,Common Tailorbird,Orthotomus sutorius,,MANOJ KUMAR MK1,2024-04-21,2024,4,21,610,India,IN-PB-LU,Punjab,Ludhiana,"H1Ludhiana, Punjab, IN (30.902, 75.82)",30.9022277,75.8198286,"",,Unspecified,"","",,,,,,,S169759506,"",,,,,Orthotomus sutorius,comtai1,Species,22738,,.00,0,,,
619219897,Audio,Common Tailorbird,Orthotomus sutorius,,MANOJ KUMAR MK1,2024-04-21,2024,4,21,610,India,IN-PB-LU,Punjab,Ludhiana,"H1Ludhiana, Punjab, IN (30.902, 75.82)",30.9022277,75.8198286,"",,Unspecified,"","",,,,,,,S169759506,"",,,,,Orthotomus sutorius,comtai1,Species,22738,,.00,0,,,
619219666,Audio,Black-rumped Flameback (Lesser Goldenbacked Woodpecker),Dinopium benghalense,,MANOJ KUMAR MK1,2024-04-24,2024,4,24,1115,India,IN-PB-LU,Punjab,Ludhiana,"Workshop, PAU Ludhiana, Punjab, IN (30.901, 75.809)",30.9009874,75.8092079,"",,Unspecified,"","",,,,,,,S170037432,"",,,,,Dinopium benghalense,bkrfla1,Species,11388,,.00,0,,,
619217638,Audio,Bank Myna,Acridotheres ginginianus,,MANOJ KUMAR MK1,2024-04-20,2024,4,20,709,India,IN-PB-LU,Punjab,Ludhiana,"r 55 citrus area old orchard, Ludhiana, Punjab, IN (30.896, 75.807)",30.8963208,75.8070397,"",,Unspecified,"","",,,,,,,S175243921,"",,,,,Acridotheres ginginianus,banmyn1,Species,27405,,.00,0,,,
619217494,Audio,Bank Myna,Acridotheres ginginianus,,MANOJ KUMAR MK1,2024-04-10,2024,4,10,730,India,IN-PB-LU,Punjab,Ludhiana,"R 33 Paddy Field Area, Pau, Ludhiana, Punjab, IN (30.897, 75.803)",30.8969047,75.8030580,"",,Unspecified,"","",,,,,,,S168091611,"",,,,,Acridotheres ginginianus,banmyn1,Species,27405,,.00,0,,,
619167826,Audio,Rufous Treepie,Dendrocitta vagabunda,,Gaurav Vadher,2024-04-07,2024,4,7,1021,India,IN-GJ-RA,Gujarat,Rajkot,indubhai parekh school of architecture rajkot,22.2646719,70.7129401,"",,Unspecified,"","",,,,,,,S167477616,"",,,,,Dendrocitta vagabunda,ruftre2,Species,21043,,.00,0,,,
619167824,Audio,Rufous Treepie,Dendrocitta vagabunda,,Gaurav Vadher,2024-04-07,2024,4,7,1021,India,IN-GJ-RA,Gujarat,Rajkot,indubhai parekh school of architecture rajkot,22.2646719,70.7129401,"",,Unspecified,"","",,,,,,,S167477616,"",,,,,Dendrocitta vagabunda,ruftre2,Species,21043,,.00,0,,,
619089385,Audio,Savanna Nightjar,Caprimulgus affinis,,Swapnil Jarad,2024-04-24,2024,4,24,1936,India,IN-MH-SO,Maharashtra,Solapur,"Takali-Bhigvan Road, Solapur, Maharashtra, IN (18.277, 74.843)",18.2771536,74.8427671,"",,Unspecified,"","",,,,,,,S174661946,"",,,,,Caprimulgus affinis,savnig1,Species,3723,,.00,0,,,
619076017,Audio,Grey Nightjar (Eastern Jungle Nightjar),Caprimulgus jotaka,,Antonio Ceballos Barbancho,2024-04-15,2024,4,15,405,India,IN-AR-WK,Arunachal Pradesh,West Kameng,Dirang--Keeduk Inn,27.3539372,92.2447944,"",,Unspecified,"","",,,,,,,S174642312,"",,,Audio grabado con una grabadora Zoom H1n y editado con Audacity siguiendo las recomendaciones de eBird. ,Audio testimonial.,Caprimulgus jotaka,grynig1,Species,3650,,.00,0,,,
619065179,Audio,Malabar Flameback,Chrysocolaptes socialis,,Afsar Nayakkan,2024-04-28,2024,4,28,824,India,IN-KL-KN,Kerala,Kannur,"Thadikkadavu - Manikkal - Therthally Road, Eruvatty, Kerala, IN (12.174, 75.422)",12.1735564,75.4222802,"",,Unspecified,"","",,,,,,,S172052476,"",,,,,Chrysocolaptes socialis,grefla4,Species,11302,,5.00,1,,,
619065148,Audio,Crested Serpent-Eagle,Spilornis cheela,,Afsar Nayakkan,2024-04-28,2024,4,28,824,India,IN-KL-KN,Kerala,Kannur,"Thadikkadavu - Manikkal - Therthally Road, Eruvatty, Kerala, IN (12.174, 75.422)",12.1735564,75.4222802,"",,Unspecified,"","",,,,,,,S172052476,"",,,,,Spilornis cheela,crseag1,Species,7767,,5.00,1,,,
619065147,Audio,Crested Serpent-Eagle,Spilornis cheela,,Afsar Nayakkan,2024-04-28,2024,4,28,824,India,IN-KL-KN,Kerala,Kannur,"Thadikkadavu - Manikkal - Therthally Road, Eruvatty, Kerala, IN (12.174, 75.422)",12.1735564,75.4222802,"",,Unspecified,"","",,,,,,,S172052476,"",,,,,Spilornis cheela,crseag1,Species,7767,,5.00,1,,,
619029521,Audio,Cachar Wedge-billed Babbler (Chevron-breasted Babbler),Stachyris roberti,,Antonio Ceballos Barbancho,2024-04-24,2024,4,24,1537,India,IN-AR-LD,Arunachal Pradesh,Lower Dibang Valley,Mishmi Hills--Chikopani Bridge,28.2414436,95.8664190,"",,Unspecified,"","",,,,,,,S174244390,"",,,Audio grabado con un Smartphone OnePlus Nord y editado con Audacity siguiendo las recomendaciones de eBird. ,,Stachyris roberti,chbbab1,Species,25677,,.00,0,,,
619029471,Audio,Chestnut-breasted Partridge,Arborophila mandellii,,Antonio Ceballos Barbancho,2024-04-17,2024,4,17,1340,India,IN-AR-WK,Arunachal Pradesh,West Kameng,Singchung Bugun Village Community Reserve (SBVCR),27.1696500,92.4580600,"",,Unspecified,"","",,,,,,,S172614721,"",,,Audio grabado con un Smartphone OnePlus Nord y editado con Audacity siguiendo las recomendaciones de eBird. ,H. Vista con posterioridad durante el viaje.,Arborophila mandellii,chbpar2,Species,1143,,.00,0,,,
619029278,Audio,Grey-bellied Tesia,Tesia cyaniventer,,Antonio Ceballos Barbancho,2024-04-17,2024,4,17,908,India,IN-AR-WK,Arunachal Pradesh,West Kameng,Singchung Bugun Village Community Reserve (SBVCR),27.1696500,92.4580600,"",,Unspecified,"","",,,,,,,S172455423,"",,,Audio grabado con un Smartphone OnePlus Nord y editado con Audacity siguiendo las recomendaciones de eBird. ,,Tesia cyaniventer,gybtes1,Species,24663,,.00,0,,,
618964822,Audio,Black-throated Tit (Black-throated Bushtit),Aegithalos concinnus,"Heterophasia capistrata -- Rufous Sibia; Hierococcyx sparverioides -- Large Hawk-Cuckoo; Turdus boulboul -- Grey-winged Blackbird",Alok Tewari,2024-04-30,2024,4,30,1330,India,IN-UL-DD,Uttarakhand,Dehradun,Landour,30.4552589,78.1026220,Adult – 8,"Call; Foraging or Eating",Not Used,"","",,,,,,,S174166004,"",,,A group feeing and calling/ occasional calls of Verditer Flycatcher is also heard.,A group foraging and calling.,Aegithalos concinnus,blttit2,Species,24811,,5.00,1,"",,
618955068,Audio,Large Hawk-Cuckoo,Hierococcyx sparverioides,"Heterophasia capistrata -- Rufous Sibia; Turdus boulboul -- Grey-winged Blackbird",Alok Tewari,2024-04-30,2024,4,30,1330,India,IN-UL-DD,Uttarakhand,Dehradun,Landour,30.4552589,78.1026220,Adult – 1,"Call; Foraging or Eating; Song",Not Used,"","",,,,,,,S174166004,"",,,Singing in the valley with occasional song of Rufous Sibia.,Calling repeatedly in the valley.,Hierococcyx sparverioides,larhac2,Species,3395,,5.00,1,"",,
618951354,Audio,Large Hawk-Cuckoo,Hierococcyx sparverioides,"Heterophasia capistrata -- Rufous Sibia; Turdus boulboul -- Grey-winged Blackbird",Alok Tewari,2024-04-30,2024,4,30,1330,India,IN-UL-DD,Uttarakhand,Dehradun,Landour,30.4552589,78.1026220,Adult – 1,Song,Not Used,"","",,,,,,,S174166004,"",,,Calls of Large Hawk Cuckoo intermixed with Rufous Sibia song.,Calling repeatedly in the valley.,Hierococcyx sparverioides,larhac2,Species,3395,,5.00,1,"",,
618951301,Audio,Rufous Sibia,Heterophasia capistrata,"Hierococcyx sparverioides -- Large Hawk-Cuckoo; Turdus boulboul -- Grey-winged Blackbird",Alok Tewari,2024-04-30,2024,4,30,1330,India,IN-UL-DD,Uttarakhand,Dehradun,Landour,30.4552589,78.1026220,Adult – 1,"Call; Foraging or Eating; Song",Not Used,"","",,,,,,,S174166004,"",,,Rufous Sibia singing with calls of Large Hawk Cuckoo intermixed.,Singing in the dense Deodar pine cover.,Heterophasia capistrata,rufsib1,Species,26055,,5.00,1,"",,
618948109,Audio,Large Hawk-Cuckoo,Hierococcyx sparverioides,,Alok Tewari,2024-04-30,2024,4,30,1330,India,IN-UL-DD,Uttarakhand,Dehradun,Landour,30.4552589,78.1026220,Adult – 1,"Call; Foraging or Eating",Unspecified,"","",,,,,,,S174166004,"",,,Calling repeatedly in the valley.,Calling repeatedly in the valley.,Hierococcyx sparverioides,larhac2,Species,3395,,5.00,1,"",,
618947544,Audio,Large Hawk-Cuckoo,Hierococcyx sparverioides,,Alok Tewari,2024-04-30,2024,4,30,1330,India,IN-UL-DD,Uttarakhand,Dehradun,Landour,30.4552589,78.1026220,Adult – 1,"Call; Foraging or Eating; Song",Not Used,"","",,,,,,,S174166004,"",,,Calling repeatedly in the valley.,Calling repeatedly in the valley.,Hierococcyx sparverioides,larhac2,Species,3395,,5.00,1,"",,
