"COMMON.NAME","SCIENTIFIC.NAME"
"White-cheeked Barbet","Psilopogon viridis"
"Greater Racket-tailed Drongo","Dicrurus paradiseus"
"Vernal Hanging-Parrot","Loriculus vernalis"
"Forest Wagtail","Dendronanthus indicus"
"Crimson-backed Sunbird","Leptocoma minima"
"Square-tailed Bulbul","Hypsipetes ganeesa"
"Greenish Warbler","Phylloscopus trochiloides"
"Orange Minivet","Pericrocotus flammeus"
"Indian White-eye","Zosterops palpebrosus"
"Bronzed Drongo","Dicrurus aeneus"
"Small Minivet","Pericrocotus cinnamomeus"
"Blue-bearded Bee-eater","Nyctyornis athertoni"
"Gray-breasted Prinia","Prinia hodgsonii"
"White-breasted Waterhen","Amaurornis phoenicurus"
"Black Kite","Milvus migrans"
"Eurasian Collared-Dove","Streptopelia decaocto"
"Black-rumped Flameback","Dinopium benghalense"
"Chestnut-headed Bee-eater","Merops leschenaulti"
"Greater Flamingo","Phoenicopterus roseus"
"Orange-headed Thrush","Geokichla citrina"
"Indian Cormorant","Phalacrocorax fuscicollis"
"Pied Kingfisher","Ceryle rudis"
"Lesser Whistling-Duck","Dendrocygna javanica"
"Great Cormorant","Phalacrocorax carbo"
"Black-headed Ibis","Threskiornis melanocephalus"
"Green-winged Teal","Anas crecca"
"Caspian Tern","Hydroprogne caspia"
"Fulvous Whistling-Duck","Dendrocygna bicolor"
"Chestnut-tailed Starling","Sturnia malabarica"
"Tawny-bellied Babbler","Dumetia hyperythra"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Gray-bellied Cuckoo","Cacomantis passerinus"
"Yellow-eyed Babbler","Chrysomma sinense"
"Spot-breasted Fantail","Rhipidura albogularis"
"White-naped Woodpecker","Chrysocolaptes festivus"
"White-rumped Munia","Lonchura striata"
"Short-toed Snake-Eagle","Circaetus gallicus"
"Common Sandpiper","Actitis hypoleucos"
"Brahminy Kite","Haliastur indus"
"Black Bittern","Ixobrychus flavicollis"
"Little Ringed Plover","Charadrius dubius"
"Common Kingfisher","Alcedo atthis"
"Long-tailed Shrike","Lanius schach"
"Indian Pitta","Pitta brachyura"
"Brown-breasted Flycatcher","Muscicapa muttui"
"Black-naped Oriole","Oriolus chinensis"
"Asian Brown Flycatcher","Muscicapa dauurica"
"Blue-throated Flycatcher","Cyornis rubeculoides"
"Jungle Myna","Acridotheres fuscus"
"Rosy Starling","Pastor roseus"
"Malabar Whistling-Thrush","Myophonus horsfieldii"
"Malabar Gray Hornbill","Ocyceros griseus"
"Streak-throated Woodpecker","Picus xanthopygaeus"
"Rufous Babbler","Turdoides subrufa"
"Asian Fairy-bluebird","Irena puella"
"Common Rosefinch","Carpodacus erythrinus"
"Indian Courser","Cursorius coromandelicus"
"Red-naped Ibis","Pseudibis papillosa"
"Clamorous Reed Warbler","Acrocephalus stentoreus"
"Bronze-winged Jacana","Metopidius indicus"
"Brown-headed Gull","Chroicocephalus brunnicephalus"
"Common Woodshrike","Tephrodornis pondicerianus"
"Oriental Turtle-Dove","Streptopelia orientalis"
"Peregrine Falcon","Falco peregrinus"
"Cotton Pygmy-Goose","Nettapus coromandelianus"
"Yellow Bittern","Ixobrychus sinensis"
"Baya Weaver","Ploceus philippinus"
"Pacific Golden-Plover","Pluvialis fulva"
"Indian Spotted Eagle","Clanga hastata"
"Red Avadavat","Amandava amandava"
"Oriental Skylark","Alauda gulgula"
"Red-necked Falcon","Falco chicquera"
"Great Crested Tern","Thalasseus bergii"
"Pin-tailed Snipe","Gallinago stenura"
"Tree Pipit","Anthus trivialis"
"White-bellied Sholakili","Sholicola albiventris"
"Gray-headed Canary-Flycatcher","Culicicapa ceylonensis"
"Painted Bush-Quail","Perdicula erythrorhyncha"
"Jungle Babbler","Turdoides striata"
"Hill Swallow","Hirundo domicola"
"Indian Scimitar-Babbler","Pomatorhinus horsfieldii"
"Velvet-fronted Nuthatch","Sitta frontalis"
"Black-and-orange Flycatcher","Ficedula nigrorufa"
"Indian Yellow Tit","Machlolophus aplonotus"
"Red Spurfowl","Galloperdix spadicea"
"Palani Laughingthrush","Montecincla fairbanki"
"Lesser Whitethroat","Sylvia curruca"
"Barred Buttonquail","Turnix suscitator"
"River Tern","Sterna aurantia"
"Nilgiri Flycatcher","Eumyias albicaudatus"
"Dark-fronted Babbler","Rhopocichla atriceps"
"Green Warbler","Phylloscopus nitidus"
"Gray Junglefowl","Gallus sonneratii"
"Brown-cheeked Fulvetta","Alcippe poioicephala"
"Malabar Barbet","Psilopogon malabaricus"
"Yellow-browed Bulbul","Iole indica"
"Large-billed Leaf Warbler","Phylloscopus magnirostris"
"Nilgiri Flowerpecker","Dicaeum concolor"
"Black-naped Monarch","Hypothymis azurea"
"Spot-bellied Eagle-Owl","Bubo nipalensis"
"Oriental Scops-Owl","Otus sunia"
"Changeable Hawk-Eagle","Nisaetus cirrhatus"
"Plum-headed Parakeet","Psittacula cyanocephala"
"Sri Lanka Bay-Owl","Phodilus assimilis"
"Barn Owl","Tyto alba"
"Small Pratincole","Glareola lactea"
"Bluethroat","Luscinia svecica"
"Kentish Plover","Charadrius alexandrinus"
"Black-tailed Godwit","Limosa limosa"
"White Wagtail","Motacilla alba"
"Eurasian Spoonbill","Platalea leucorodia"
"Black-hooded Oriole","Oriolus xanthornus"
"Cinereous Tit","Parus cinereus"
"Greater Flameback","Chrysocolaptes guttacristatus"
"Gray-fronted Green-Pigeon","Treron affinis"
"Green Imperial-Pigeon","Ducula aenea"
"White-browed Fantail","Rhipidura aureola"
"Short-eared Owl","Asio flammeus"
"Western Reef-Heron","Egretta gularis"
"Paddyfield Warbler","Acrocephalus agricola"
"Indian Blue Robin","Larvivora brunnea"
"Siberian Stonechat","Saxicola maurus"
"Blyth's Pipit","Anthus godlewskii"
"Ruff","Calidris pugnax"
"White-rumped Shama","Copsychus malabaricus"
"Indian Blackbird","Turdus simillimus"
"Indian Scops-Owl","Otus bakkamoena"
"Osprey","Pandion haliaetus"
"Streaked Weaver","Ploceus manyar"
"Chestnut-winged Cuckoo","Clamator coromandus"
"Eurasian Curlew","Numenius arquata"
"Curlew Sandpiper","Calidris ferruginea"
"Blue Rock-Thrush","Monticola solitarius"
"Pied Thrush","Geokichla wardii"
"Jerdon's Leafbird","Chloropsis jerdoni"
"Rufous Woodpecker","Micropternus brachyurus"
"Rufous-tailed Lark","Ammomanes phoenicura"
"Common Redshank","Tringa totanus"
"Common Tern","Sterna hirundo"
"Wire-tailed Swallow","Hirundo smithii"
"Whimbrel","Numenius phaeopus"
"Black-headed Gull","Chroicocephalus ridibundus"
"Richard's Pipit","Anthus richardi"
"Ruddy-breasted Crake","Zapornia fusca"
"Greater Painted-Snipe","Rostratula benghalensis"
"Thick-billed Flowerpecker","Dicaeum agile"
"Striated Heron","Butorides striata"
"Knob-billed Duck","Sarkidiornis melanotos"
"Southern Hill Myna","Gracula indica"
"Asian Emerald Dove","Chalcophaps indica"
"Mottled Wood-Owl","Strix ocellata"
"Brown-headed Barbet","Psilopogon zeylanicus"
"Bonelli's Eagle","Aquila fasciata"
"Nilgiri Sholakili","Sholicola major"
"Nilgiri Laughingthrush","Montecincla cachinnans"
"Rusty-tailed Flycatcher","Ficedula ruficauda"
"Lesser Black-backed Gull","Larus fuscus"
"Indian Swiftlet","Aerodramus unicolor"
"Legge's Hawk-Eagle","Nisaetus kelaarti"
"Common Pochard","Aythya ferina"
"Mountain Imperial-Pigeon","Ducula badia"
"White-bellied Sea-Eagle","Haliaeetus leucogaster"
"Nilgiri Wood-Pigeon","Columba elphinstonii"
"Dusky Crag-Martin","Ptyonoprogne concolor"
"Woolly-necked Stork","Ciconia episcopus"
"Rain Quail","Coturnix coromandelica"
"Flame-throated Bulbul","Rubigula gularis"
"Blue-capped Rock-Thrush","Monticola cinclorhyncha"
"Little Tern","Sternula albifrons"
"Chestnut-bellied Sandgrouse","Pterocles exustus"
"Painted Spurfowl","Galloperdix lunulata"
"Yellow-throated Bulbul","Pycnonotus xantholaemus"
"Brown Fish-Owl","Ketupa zeylonensis"
"Lesser Crested Tern","Thalasseus bengalensis"
"Golden-fronted Leafbird","Chloropsis aurifrons"
"Asian Pied Starling","Gracupica contra"
"White-rumped Needletail","Zoonavena sylvatica"
"Rufous-bellied Eagle","Lophotriorchis kienerii"
"Yellow-footed Green-Pigeon","Treron phoenicopterus"
"Watercock","Gallicrex cinerea"
"Tawny Pipit","Anthus campestris"
"White-winged Tern","Chlidonias leucopterus"
"Bar-winged Flycatcher-shrike","Hemipus picatus"
"Pallid Harrier","Circus macrourus"
"Verditer Flycatcher","Eumyias thalassinus"
"Jungle Owlet","Glaucidium radiatum"
"Large Cuckooshrike","Coracina macei"
"Yellow-crowned Woodpecker","Leiopicus mahrattensis"
"Crested Treeswift","Hemiprocne coronata"
"Thick-billed Warbler","Arundinax aedon"
"Jungle Bush-Quail","Perdicula asiatica"
"Sirkeer Malkoha","Taccocua leschenaultii"
"Montagu's Harrier","Circus pygargus"
"Great Gray Shrike","Lanius excubitor"
"Stork-billed Kingfisher","Pelargopsis capensis"
"Brown-backed Needletail","Hirundapus giganteus"
"Black-bellied Tern","Sterna acuticauda"
"Red Collared-Dove","Streptopelia tranquebarica"
"Pallas's Gull","Ichthyaetus ichthyaetus"
"Dollarbird","Eurystomus orientalis"
"Black-bellied Plover","Pluvialis squatarola"
"Indian Nuthatch","Sitta castanea"
"Jungle Nightjar","Caprimulgus indicus"
"White-rumped Vulture","Gyps bengalensis"
"Malabar Lark","Galerida malabarica"
"Savanna Nightjar","Caprimulgus affinis"
"Lesser Yellownape","Picus chlorolophus"
"Crested Goshawk","Accipiter trivirgatus"
"Red-headed Vulture","Sarcogyps calvus"
"Slaty-breasted Rail","Lewinia striata"
"Lesser Sand-Plover","Charadrius mongolus"
"Greater Sand-Plover","Charadrius leschenaultii"
"Ruddy Turnstone","Arenaria interpres"
"Dunlin","Calidris alpina"
"Rock Pigeon","Columba livia"
"Sykes's Short-toed Lark","Calandrella dukhunensis"
"Laggar Falcon","Falco jugger"
"Kashmir Flycatcher","Ficedula subrubra"
"Taiga Flycatcher","Ficedula albicilla"
"Eurasian Sparrowhawk","Accipiter nisus"
"Eurasian Wryneck","Jynx torquilla"
"Rock Bush-Quail","Perdicula argoondah"
