ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Caption,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
634321127,Audio,Soundscape,,"Amaurornis phoenicurus -- White-breasted Waterhen; Psittacula krameri -- Rose-ringed Parakeet; Helopsaltes certhiola -- Pallas's Grasshopper Warbler; Prinia socialis -- Ashy Prinia; Rhipidura albogularis -- Spot-breasted Fantail (White-spotted Fantail); Orthotomus sutorius -- Common Tailorbird; Eudynamys scolopaceus -- Asian Koel",Soundscape Recorded at Kopar creek,Ramesh Shenai,2025-03-18,2025,3,18,649,India,IN-MH-TH,Maharashtra,Thane,Kopar Creek-- Dombivali,19.2156805,73.0701998,"","",Unspecified,"","",,,Samsung Galaxy S24,Rode Videomic Go II,,,S219176105,"",,,,,,,,,,3.00,1,"",,
634275435,Audio,Grey Junglefowl,Gallus sonneratii,,,Sakthivel Thangavel,2025-03-27,2025,3,27,618,India,IN-TN-NI,Tamil Nadu,The Nilgiris,Genepool Ecological Park,11.4672207,76.4166766,"",,Unspecified,"","",,,,,,,S221018375,"",,,,Call id also,Gallus sonneratii,grejun2,Species,1593,,.00,0,,,
634275408,Audio,Black-headed Cuckooshrike,Lalage melanoptera,,,Sakthivel Thangavel,2025-03-27,2025,3,27,618,India,IN-TN-NI,Tamil Nadu,The Nilgiris,Genepool Ecological Park,11.4672207,76.4166766,"",,Unspecified,"","",,,,,,,S221018375,"",,,,Call id,Lalage melanoptera,bkhcus1,Species,18648,,.00,0,,,
634275400,Audio,White-throated Kingfisher,Halcyon smyrnensis,,,Sakthivel Thangavel,2025-03-27,2025,3,27,618,India,IN-TN-NI,Tamil Nadu,The Nilgiris,Genepool Ecological Park,11.4672207,76.4166766,"",,Unspecified,"","",,,,,,,S221018375,"",,,,,Halcyon smyrnensis,whtkin2,Species,9975,,.00,0,,,
634275394,Audio,Indian Scimitar-Babbler,Pomatorhinus horsfieldii,,,Sakthivel Thangavel,2025-03-27,2025,3,27,618,India,IN-TN-NI,Tamil Nadu,The Nilgiris,Genepool Ecological Park,11.4672207,76.4166766,"",,Unspecified,"","",,,,,,,S221018375,"",,,,Call id three different spit,Pomatorhinus horsfieldii,insbab1,Species,25810,,.00,0,,,
634275395,Audio,Indian Scimitar-Babbler,Pomatorhinus horsfieldii,,,Sakthivel Thangavel,2025-03-27,2025,3,27,618,India,IN-TN-NI,Tamil Nadu,The Nilgiris,Genepool Ecological Park,11.4672207,76.4166766,"",,Unspecified,"","",,,,,,,S221018375,"",,,,Call id three different spit,Pomatorhinus horsfieldii,insbab1,Species,25810,,.00,0,,,
634275387,Audio,Crimson-backed Sunbird (Small Sunbird),Leptocoma minima,,,Sakthivel Thangavel,2025-03-27,2025,3,27,618,India,IN-TN-NI,Tamil Nadu,The Nilgiris,Genepool Ecological Park,11.4672207,76.4166766,"",,Unspecified,"","",,,,,,,S221018375,"",,,,Call id also,Leptocoma minima,crbsun2,Species,30006,,.00,0,,,
634275386,Audio,Crimson-backed Sunbird (Small Sunbird),Leptocoma minima,,,Sakthivel Thangavel,2025-03-27,2025,3,27,618,India,IN-TN-NI,Tamil Nadu,The Nilgiris,Genepool Ecological Park,11.4672207,76.4166766,"",,Unspecified,"","",,,,,,,S221018375,"",,,,Call id also,Leptocoma minima,crbsun2,Species,30006,,.00,0,,,
634275382,Audio,Puff-throated Babbler,Pellorneum ruficeps,,,Sakthivel Thangavel,2025-03-27,2025,3,27,618,India,IN-TN-NI,Tamil Nadu,The Nilgiris,Genepool Ecological Park,11.4672207,76.4166766,"",,Unspecified,"","",,,,,,,S221018375,"",,,,Call id two different spot,Pellorneum ruficeps,putbab1,Species,25958,,.00,0,,,
634275374,Audio,Puff-throated Babbler,Pellorneum ruficeps,,,Sakthivel Thangavel,2025-03-27,2025,3,27,618,India,IN-TN-NI,Tamil Nadu,The Nilgiris,Genepool Ecological Park,11.4672207,76.4166766,"",,Unspecified,"","",,,,,,,S221018375,"",,,,Call id two different spot,Pellorneum ruficeps,putbab1,Species,25958,,.00,0,,,
634275375,Audio,Puff-throated Babbler,Pellorneum ruficeps,,,Sakthivel Thangavel,2025-03-27,2025,3,27,618,India,IN-TN-NI,Tamil Nadu,The Nilgiris,Genepool Ecological Park,11.4672207,76.4166766,"",,Unspecified,"","",,,,,,,S221018375,"",,,,Call id two different spot,Pellorneum ruficeps,putbab1,Species,25958,,.00,0,,,
634275270,Audio,Oriental Magpie-Robin,Copsychus saularis,,,Sakthivel Thangavel,2025-03-26,2025,3,26,1658,India,IN-TN-NI,Tamil Nadu,The Nilgiris,"DFO Office Gudalur, Makkammoola Road, Nilgiris, Tamil Nadu, IN (11.521, 76.513)",11.5212528,76.5127602,"",,Unspecified,"","",,,,,,,S221022017,"",,,,,Copsychus saularis,magrob,Species,28732,,.00,0,,,
634275271,Audio,Oriental Magpie-Robin,Copsychus saularis,,,Sakthivel Thangavel,2025-03-26,2025,3,26,1658,India,IN-TN-NI,Tamil Nadu,The Nilgiris,"DFO Office Gudalur, Makkammoola Road, Nilgiris, Tamil Nadu, IN (11.521, 76.513)",11.5212528,76.5127602,"",,Unspecified,"","",,,,,,,S221022017,"",,,,,Copsychus saularis,magrob,Species,28732,,.00,0,,,
634233296,Audio,Large Grey Babbler,Argya malcolmi,,,Panchapakesan Jeganathan,2025-03-14,2025,3,14,1828,India,IN-TN-TP,Tamil Nadu,Tiruppur,DuBros Silverlance Apartment,11.0962095,77.3726332,"",,Unspecified,"","",,,,,,,S218411653,"",,,,Heard twice clearly. Surely more than one bird. Home lifer. But will Bldr mimic like lgba?,Argya malcolmi,lagbab2,Species,26355,,.00,0,,,
634232790,Audio,Common Iora,Aegithina tiphia,,,Panchapakesan Jeganathan,2025-03-18,2025,3,18,1454,India,IN-TN-TJ,Tamil Nadu,Thanjavur,"Kollidam River, Anaikudi",10.9327217,79.1331817,"",,Unspecified,"","",,,,,,,S219190346,"",,,,,Aegithina tiphia,comior1,Species,19790,,.00,0,,,
634226687,Audio,Black-hooded Oriole,Oriolus xanthornus,Psilopogon zeylanicus -- Brown-headed Barbet (Large Green Barbet),,Panchapakesan Jeganathan,2025-03-27,2025,3,27,1711,India,IN-TN-CO,Tamil Nadu,Coimbatore,Monkey Falls,10.4578532,76.9700537,"",,Unspecified,"","",,,,,,,S221090708,"",,,,Heard and seen,Oriolus xanthornus,blhori1,Species,19466,,.00,0,,,
634226361,Audio,Puff-throated Babbler,Pellorneum ruficeps,"Pomatorhinus horsfieldii -- Indian Scimitar-Babbler; Myophonus horsfieldii -- Malabar Whistling-Thrush; Chrysocolaptes socialis -- Malabar Flameback; Phylloscopus magnirostris -- Large-billed Leaf Warbler; Gallus sonneratii -- Grey Junglefowl; Psilopogon viridis -- White-cheeked Barbet (Small Green Barbet); Irena puella -- Asian Fairy-bluebird",,Panchapakesan Jeganathan,2025-03-30,2025,3,30,620,India,IN-TN-CO,Tamil Nadu,Coimbatore,VBS-AZIYAR-01,10.3936667,76.9936111,"",,Unspecified,"","",,,Recorded via Merlin mobile app.,,,,S222021967,"",,,,,Pellorneum ruficeps,putbab1,Species,25958,,.00,0,,,
634226190,Audio,Red Spurfowl,Galloperdix spadicea,,,Panchapakesan Jeganathan,2025-03-30,2025,3,30,840,India,IN-TN-CO,Tamil Nadu,Coimbatore,VBS-AZIYAR-15,10.4489722,76.9831111,"",,Unspecified,"","",,,,,,,S222021952,"",,,,,Galloperdix spadicea,redspu1,Species,1561,,.00,0,,,
634214183,Audio,Rose-ringed Parakeet,Psittacula krameri,Passer domesticus -- House Sparrow,,Holger Schneider,2025-03-09,2025,3,9,1145,India,IN-AS-GG,Assam,Golaghat,"The Corbett Foundation, Kaziranga",26.5942820,93.4486181,"",,Unspecified,"","",,,,,,,S217373473,"",,,,,Psittacula krameri,rorpar,Species,12232,,.00,0,,,
634214077,Audio,House Sparrow,Passer domesticus,,,Holger Schneider,2025-03-09,2025,3,9,1145,India,IN-AS-GG,Assam,Golaghat,"The Corbett Foundation, Kaziranga",26.5942820,93.4486181,"",,Unspecified,"","",,,,,,,S217373473,"",,,,,Passer domesticus,houspa,Species,31261,,.00,0,,,
634212079,Audio,Indian Cuckoo,Cuculus micropterus,,,Novelkumar M S,2025-03-28,2025,3,28,730,India,IN-KL-PL,Kerala,Palakkad,Malampuzha Reservoir (North side),10.8657601,76.6592073,"",,Unspecified,"","",,,,,,,S221222794,"",,,,,Cuculus micropterus,indcuc1,Species,3381,,5.00,1,,,
634085961,Audio,Rufous-fronted Babbler,Cyanoderma rufifrons,,,Holger Schneider,2025-03-10,2025,3,10,1505,India,IN-AS-GG,Assam,Golaghat,Kaziranga NP & Surroundings--Diring Tea Garden,26.5862361,93.4517296,"",,Unspecified,"","",,,,,,,S217647718,"",,,,,Cyanoderma rufifrons,rufbab10,Species,25718,,.00,0,,,
634085461,Audio,Asian Koel,Eudynamys scolopaceus,"Copsychus saularis -- Oriental Magpie-Robin; Oriolus xanthornus -- Black-hooded Oriole",,Holger Schneider,2025-03-11,2025,3,11,1536,India,IN-AS-KM,Assam,Kamrup Metropolitan,Dispur--Beltola Road,26.1329630,91.7936990,"",,Unspecified,"","",,,,,,,S217832683,"",,,,,Eudynamys scolopaceus,asikoe2,Species,3219,,.00,0,,,
634085359,Audio,Black-hooded Oriole,Oriolus xanthornus,"Copsychus saularis -- Oriental Magpie-Robin; Eudynamys scolopaceus -- Asian Koel",,Holger Schneider,2025-03-11,2025,3,11,1536,India,IN-AS-KM,Assam,Kamrup Metropolitan,Dispur--Beltola Road,26.1329630,91.7936990,"",,Unspecified,"","",,,,,,,S217832683,"",,,,,Oriolus xanthornus,blhori1,Species,19466,,.00,0,,,
634026272,Audio,Purple Sunbird,Cinnyris asiaticus,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,911,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"MR Palayam Elephant Rescue And Rehabilitation Centre, Siruganur, Tamil Nadu, IN (11.053, 78.811)",11.0531523,78.8105505,"",,Unspecified,"","",,,,,,,S218556076,"",,,,,Cinnyris asiaticus,pursun4,Species,30175,,2.00,1,,,
634026177,Audio,Jungle Prinia,Prinia sylvatica,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,911,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"MR Palayam Elephant Rescue And Rehabilitation Centre, Siruganur, Tamil Nadu, IN (11.053, 78.811)",11.0531523,78.8105505,"",,Unspecified,"","",,,,,,,S218556076,"",,,,Heard,Prinia sylvatica,junpri1,Species,23030,,2.00,1,,,
634026171,Audio,Common Woodshrike,Tephrodornis pondicerianus,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,911,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"MR Palayam Elephant Rescue And Rehabilitation Centre, Siruganur, Tamil Nadu, IN (11.053, 78.811)",11.0531523,78.8105505,"",,Unspecified,"","",,,,,,,S218556076,"",,,,,Tephrodornis pondicerianus,comwoo1,Species,19728,,4.00,1,,,
634026146,Audio,Indian Robin,Copsychus fulicatus,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,911,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"MR Palayam Elephant Rescue And Rehabilitation Centre, Siruganur, Tamil Nadu, IN (11.053, 78.811)",11.0531523,78.8105505,"",,Unspecified,"","",,,,,,,S218556076,"",,,,,Copsychus fulicatus,indrob1,Species,28726,,2.00,1,,,
634026148,Audio,Indian Robin,Copsychus fulicatus,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,911,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"MR Palayam Elephant Rescue And Rehabilitation Centre, Siruganur, Tamil Nadu, IN (11.053, 78.811)",11.0531523,78.8105505,"",,Unspecified,"","",,,,,,,S218556076,"",,,,,Copsychus fulicatus,indrob1,Species,28726,,3.00,1,,,
634025837,Audio,Common Hawk-Cuckoo,Hierococcyx varius,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,635,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"District Forest Office, JK Nagar Main Road, Tiruchirappalli, Tamil Nadu, IN (10.769, 78.698)",10.7690783,78.6983583,"",,Unspecified,"","",,,,,,,S218551174,"",,,,Heard,Hierococcyx varius,cohcuc1,Species,3366,,3.00,1,,,
634025592,Audio,White-throated Kingfisher,Halcyon smyrnensis,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,635,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"District Forest Office, JK Nagar Main Road, Tiruchirappalli, Tamil Nadu, IN (10.769, 78.698)",10.7690783,78.6983583,"",,Unspecified,"","",,,,,,,S218551174,"",,,,,Halcyon smyrnensis,whtkin2,Species,9975,,2.00,1,,,
634025586,Audio,Rose-ringed Parakeet,Psittacula krameri,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,635,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"District Forest Office, JK Nagar Main Road, Tiruchirappalli, Tamil Nadu, IN (10.769, 78.698)",10.7690783,78.6983583,"",,Unspecified,"","",,,,,,,S218551174,"",,,,,Psittacula krameri,rorpar,Species,12232,,2.00,1,,,
634025577,Audio,Pale-billed Flowerpecker,Dicaeum erythrorhynchos,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,635,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"District Forest Office, JK Nagar Main Road, Tiruchirappalli, Tamil Nadu, IN (10.769, 78.698)",10.7690783,78.6983583,"",,Unspecified,"","",,,,,,,S218551174,"",,,,,Dicaeum erythrorhynchos,pabflo1,Species,29761,,5.00,1,,,
634025576,Audio,Pale-billed Flowerpecker,Dicaeum erythrorhynchos,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,635,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"District Forest Office, JK Nagar Main Road, Tiruchirappalli, Tamil Nadu, IN (10.769, 78.698)",10.7690783,78.6983583,"",,Unspecified,"","",,,,,,,S218551174,"",,,,,Dicaeum erythrorhynchos,pabflo1,Species,29761,,4.00,1,,,
634025565,Audio,Common Hawk-Cuckoo,Hierococcyx varius,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,635,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"District Forest Office, JK Nagar Main Road, Tiruchirappalli, Tamil Nadu, IN (10.769, 78.698)",10.7690783,78.6983583,"",,Unspecified,"","",,,,,,,S218551174,"",,,,Heard,Hierococcyx varius,cohcuc1,Species,3366,,2.00,1,,,
634025566,Audio,Common Hawk-Cuckoo,Hierococcyx varius,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,635,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"District Forest Office, JK Nagar Main Road, Tiruchirappalli, Tamil Nadu, IN (10.769, 78.698)",10.7690783,78.6983583,"",,Unspecified,"","",,,,,,,S218551174,"",,,,Heard,Hierococcyx varius,cohcuc1,Species,3366,,1.00,1,,,
634025561,Audio,Common Hawk-Cuckoo,Hierococcyx varius,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,635,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"District Forest Office, JK Nagar Main Road, Tiruchirappalli, Tamil Nadu, IN (10.769, 78.698)",10.7690783,78.6983583,"",,Unspecified,"","",,,,,,,S218551174,"",,,,Heard,Hierococcyx varius,cohcuc1,Species,3366,,3.00,1,,,
634025564,Audio,Common Hawk-Cuckoo,Hierococcyx varius,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,635,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"District Forest Office, JK Nagar Main Road, Tiruchirappalli, Tamil Nadu, IN (10.769, 78.698)",10.7690783,78.6983583,"",,Unspecified,"","",,,,,,,S218551174,"",,,,Heard,Hierococcyx varius,cohcuc1,Species,3366,,4.00,1,,,
634025562,Audio,Common Hawk-Cuckoo,Hierococcyx varius,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,635,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"District Forest Office, JK Nagar Main Road, Tiruchirappalli, Tamil Nadu, IN (10.769, 78.698)",10.7690783,78.6983583,"",,Unspecified,"","",,,,,,,S218551174,"",,,,Heard,Hierococcyx varius,cohcuc1,Species,3366,,1.00,1,,,
634025560,Audio,Common Hawk-Cuckoo,Hierococcyx varius,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,635,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"District Forest Office, JK Nagar Main Road, Tiruchirappalli, Tamil Nadu, IN (10.769, 78.698)",10.7690783,78.6983583,"",,Unspecified,"","",,,,,,,S218551174,"",,,,Heard,Hierococcyx varius,cohcuc1,Species,3366,,2.00,1,,,
634025558,Audio,Common Hawk-Cuckoo,Hierococcyx varius,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,635,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"District Forest Office, JK Nagar Main Road, Tiruchirappalli, Tamil Nadu, IN (10.769, 78.698)",10.7690783,78.6983583,"",,Unspecified,"","",,,,,,,S218551174,"",,,,Heard,Hierococcyx varius,cohcuc1,Species,3366,,4.00,1,,,
634011849,Audio,Savanna Nightjar,Caprimulgus affinis,,,Mandar TIJARE,2025-03-09,2025,3,9,631,India,IN-MH-PU,Maharashtra,Pune,Pabe Ghat,18.3361951,73.6732569,"","Call; Dawn Song",Unspecified,"","",,,,,,,S217380738,"",,,,Heard calling from all directions,Caprimulgus affinis,savnig1,Species,3654,,.00,0,"",,
633967754,Audio,Mottled Wood-Owl,Strix ocellata,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,1811,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"Forest Extension Centre, M R Palayam, Chennai - Trichy Highway, Tiruchirappalli, Tamil Nadu, IN (11.041, 78.812)",11.0405467,78.8123517,"",,Unspecified,"","",,,,,,,S218613610,"",,,,Heard,Strix ocellata,mowowl1,Species,9077,,3.00,1,,,
633967386,Audio,Indian Robin,Copsychus fulicatus,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,1811,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"Forest Extension Centre, M R Palayam, Chennai - Trichy Highway, Tiruchirappalli, Tamil Nadu, IN (11.041, 78.812)",11.0405467,78.8123517,"",,Unspecified,"","",,,,,,,S218613610,"",,,,,Copsychus fulicatus,indrob1,Species,28726,,2.00,1,,,
633967384,Audio,Indian Robin,Copsychus fulicatus,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,1811,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"Forest Extension Centre, M R Palayam, Chennai - Trichy Highway, Tiruchirappalli, Tamil Nadu, IN (11.041, 78.812)",11.0405467,78.8123517,"",,Unspecified,"","",,,,,,,S218613610,"",,,,,Copsychus fulicatus,indrob1,Species,28726,,2.00,1,,,
633967367,Audio,Black Drongo,Dicrurus macrocercus,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,1811,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"Forest Extension Centre, M R Palayam, Chennai - Trichy Highway, Tiruchirappalli, Tamil Nadu, IN (11.041, 78.812)",11.0405467,78.8123517,"",,Unspecified,"","",,,,,,,S218613610,"",,,,,Dicrurus macrocercus,bladro1,Species,20212,,2.00,1,,,
633967348,Audio,Indian Pitta,Pitta brachyura,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,1811,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"Forest Extension Centre, M R Palayam, Chennai - Trichy Highway, Tiruchirappalli, Tamil Nadu, IN (11.041, 78.812)",11.0405467,78.8123517,"",,Unspecified,"","",,,,,,,S218613610,"",,,,Heard,Pitta brachyura,indpit1,Species,13258,,2.00,1,,,
633967321,Audio,Indian Thick-knee (Indian Stone-curlew),Burhinus indicus,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,1811,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"Forest Extension Centre, M R Palayam, Chennai - Trichy Highway, Tiruchirappalli, Tamil Nadu, IN (11.041, 78.812)",11.0405467,78.8123517,"",,Unspecified,"","",,,,,,,S218613610,"",,,,,Burhinus indicus,indthk1,Species,5700,,3.00,1,,,
633967306,Audio,Indian Nightjar,Caprimulgus asiaticus,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,1811,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"Forest Extension Centre, M R Palayam, Chennai - Trichy Highway, Tiruchirappalli, Tamil Nadu, IN (11.041, 78.812)",11.0405467,78.8123517,"",,Unspecified,"","",,,,,,,S218613610,"",,,,Heard,Caprimulgus asiaticus,indnig1,Species,3642,,4.00,1,,,
633967305,Audio,Indian Nightjar,Caprimulgus asiaticus,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,1811,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"Forest Extension Centre, M R Palayam, Chennai - Trichy Highway, Tiruchirappalli, Tamil Nadu, IN (11.041, 78.812)",11.0405467,78.8123517,"",,Unspecified,"","",,,,,,,S218613610,"",,,,Heard,Caprimulgus asiaticus,indnig1,Species,3642,,3.00,1,,,
633967304,Audio,Indian Nightjar,Caprimulgus asiaticus,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,1811,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"Forest Extension Centre, M R Palayam, Chennai - Trichy Highway, Tiruchirappalli, Tamil Nadu, IN (11.041, 78.812)",11.0405467,78.8123517,"",,Unspecified,"","",,,,,,,S218613610,"",,,,Heard,Caprimulgus asiaticus,indnig1,Species,3642,,1.00,1,,,
633967272,Audio,"Jerdon's Nightjar",Caprimulgus atripennis,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,1811,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"Forest Extension Centre, M R Palayam, Chennai - Trichy Highway, Tiruchirappalli, Tamil Nadu, IN (11.041, 78.812)",11.0405467,78.8123517,"",,Unspecified,"","",,,,,,,S218613610,"",,,,Heard,Caprimulgus atripennis,jernig1,Species,3621,,1.00,1,,,
633967255,Audio,Greater Coucal,Centropus sinensis,,,Sreekumar Chirukandoth,2025-03-15,2025,3,15,1811,India,IN-TN-TC,Tamil Nadu,Tiruchirappalli,"Forest Extension Centre, M R Palayam, Chennai - Trichy Highway, Tiruchirappalli, Tamil Nadu, IN (11.041, 78.812)",11.0405467,78.8123517,"",,Unspecified,"","",,,,,,,S218613610,"",,,,,Centropus sinensis,grecou1,Species,3075,,3.00,1,,,
