"COMMON.NAME","SCIENTIFIC.NAME"
"Blue-tailed Bee-eater","Merops philippinus"
"Chestnut-headed Bee-eater","Merops leschenaulti"
"Common Iora","Aegithina tiphia"
"Coppersmith Barbet","Psilopogon haemacephalus"
"Eurasian Collared-Dove","Streptopelia decaocto"
"Eurasian Wryneck","Jynx torquilla"
"Eurasian Tree Sparrow","Passer montanus"
"Greater Flameback","Chrysocolaptes guttacristatus"
"Gray-backed Shrike","Lanius tephronotus"
"House Swift","Apus nipalensis"
"Indian White-eye","Zosterops palpebrosus"
"Little Ringed Plover","Charadrius dubius"
"Little Spiderhunter","Arachnothera longirostra"
"Pied Bushchat","Saxicola caprata"
"Purple-rumped Sunbird","Leptocoma zeylonica"
"Puff-throated Babbler","Pellorneum ruficeps"
"Red Collared-Dove","Streptopelia tranquebarica"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Rufous-necked Laughingthrush","Pterorhinus ruficollis"
"Spotted Owlet","Athene brama"
"Black Bittern","Ixobrychus flavicollis"
"Chestnut Munia","Lonchura atricapilla"
"Greater Adjutant","Leptoptilos dubius"
"Green Imperial-Pigeon","Ducula aenea"
"Gray-headed Canary-Flycatcher","Culicicapa ceylonensis"
"Taiga Flycatcher","Ficedula albicilla"
"Citrine Wagtail","Motacilla citreola"
"Oriental Darter","Anhinga melanogaster"
"Gray Heron","Ardea cinerea"
"Little Grebe","Tachybaptus ruficollis"
"Purple Heron","Ardea purpurea"
"Alexandrine Parakeet","Psittacula eupatria"
"Bank Myna","Acridotheres ginginianus"
"Bengal Bushlark","Mirafra assamica"
"Black-crested Bulbul","Rubigula flaviventris"
"Black-throated Sunbird","Aethopyga saturata"
"Blue Rock-Thrush","Monticola solitarius"
"Collared Falconet","Microhierax caerulescens"
"Gray-headed Lapwing","Vanellus cinereus"
"Lesser Racket-tailed Drongo","Dicrurus remifer"
"Oriental Pied-Hornbill","Anthracoceros albirostris"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus"
"Pied Kingfisher","Ceryle rudis"
"Yellow Bittern","Ixobrychus sinensis"
"Brown Boobook","Ninox scutulata"
"Bronze-winged Jacana","Metopidius indicus"
"Common Sandpiper","Actitis hypoleucos"
"Pallas's Gull","Ichthyaetus ichthyaetus"
"Lineated Barbet","Psilopogon lineatus"
"Pacific Golden-Plover","Pluvialis fulva"
"Gray-headed Swamphen","Porphyrio poliocephalus"
"River Lapwing","Vanellus duvaucelii"
"Tickell's Leaf Warbler","Phylloscopus affinis"
"Blue-breasted Quail","Synoicus chinensis"
"Blyth's Leaf Warbler","Phylloscopus reguloides"
"Bronzed Drongo","Dicrurus aeneus"
"Glossy Ibis","Plegadis falcinellus"
"Golden-fronted Leafbird","Chloropsis aurifrons"
"Orange-headed Thrush","Geokichla citrina"
"Oriental Honey-buzzard","Pernis ptilorhynchus"
"Pied Harrier","Circus melanoleucos"
"Striated Heron","Butorides striata"
"White-rumped Shama","Copsychus malabaricus"
"Abbott's Babbler","Malacocincla abbotti"
"Amur Falcon","Falco amurensis"
"Asian Fairy-bluebird","Irena puella"
"Square-tailed Drongo-Cuckoo","Surniculus lugubris"
"Baya Weaver","Ploceus philippinus"
"Blue-bearded Bee-eater","Nyctyornis athertoni"
"Black-breasted Weaver","Ploceus benghalensis"
"Black-winged Cuckooshrike","Lalage melaschistos"
"Blue-eared Barbet","Psilopogon duvaucelii"
"Black-headed Ibis","Threskiornis melanocephalus"
"Blossom-headed Parakeet","Psittacula roseata"
"Black-naped Monarch","Hypothymis azurea"
"Blue-naped Pitta","Hydrornis nipalensis"
"Black-necked Stork","Ephippiorhynchus asiaticus"
"Blue-winged Leafbird","Chloropsis cochinchinensis"
"Blue Whistling-Thrush","Myophonus caeruleus"
"Brown Crake","Zapornia akool"
"Buff-chested Babbler","Cyanoderma ambiguum"
"Chestnut-capped Babbler","Timalia pileata"
"Cinnamon Bittern","Ixobrychus cinnamomeus"
"Common Greenshank","Tringa nebularia"
"Common Snipe","Gallinago gallinago"
"Crested Goshawk","Accipiter trivirgatus"
"Crested Serpent-Eagle","Spilornis cheela"
"Dark-necked Tailorbird","Orthotomus atrogularis"
"Eastern Yellow Wagtail","Motacilla tschutschensis"
"Asian Emerald Dove","Chalcophaps indica"
"Eurasian Kestrel","Falco tinnunculus"
"Fulvous-breasted Woodpecker","Dendrocopos macei"
"Gadwall","Mareca strepera"
"Greater Necklaced Laughingthrush","Pterorhinus pectoralis"
"Green-billed Malkoha","Phaenicophaeus tristis"
"Great Cormorant","Phalacrocorax carbo"
"Greater Coucal","Centropus sinensis"
"Great Hornbill","Buceros bicornis"
"Greater Yellownape","Chrysophlegma flavinucha"
"Green Sandpiper","Tringa ochropus"
"Greater Racket-tailed Drongo","Dicrurus paradiseus"
"Gray-capped Pygmy Woodpecker","Yungipicus canicapillus"
"Gray-headed Woodpecker","Picus canus"
"Gray-headed Fish-Eagle","Haliaeetus ichthyaetus"
"Gray-throated Babbler","Stachyris nigriceps"
"Gray-throated Martin","Riparia chinensis"
"Hair-crested Drongo","Dicrurus hottentottus"
"Indian Spot-billed Duck","Anas poecilorhyncha"
"Kalij Pheasant","Lophura leucomelanos"
"Large Cuckooshrike","Coracina macei"
"Large Woodshrike","Tephrodornis virgatus"
"Large-tailed Nightjar","Caprimulgus macrurus"
"Lesser Coucal","Centropus bengalensis"
"Mountain Imperial-Pigeon","Ducula badia"
"Olive-backed Pipit","Anthus hodgsoni"
"Oriental Skylark","Alauda gulgula"
"Oriental Turtle-Dove","Streptopelia orientalis"
"Osprey","Pandion haliaetus"
"Pale-chinned Blue Flycatcher","Cyornis poliogenys"
"Pallas's Fish-Eagle","Haliaeetus leucoryphus"
"Peregrine Falcon","Falco peregrinus"
"Pied Falconet","Microhierax melanoleucos"
"Red-breasted Parakeet","Psittacula alexandri"
"Red Junglefowl","Gallus gallus"
"Red-rumped Swallow","Cecropis daurica"
"Richard's Pipit","Anthus richardi"
"River Tern","Sterna aurantia"
"Rosy Pipit","Anthus roseatus"
"Ruby-cheeked Sunbird","Chalcoparia singalensis"
"Scarlet Minivet","Pericrocotus speciosus"
"Scarlet-backed Flowerpecker","Dicaeum cruentatum"
"Shikra","Accipiter badius"
"Siberian Rubythroat","Calliope calliope"
"Small Niltava","Niltava macgrigoriae"
"Small Pratincole","Glareola lactea"
"Spot-billed Pelican","Pelecanus philippensis"
"Striated Grassbird","Megalurus palustris"
"Striated Swallow","Cecropis striolata"
"Pin-striped Tit-Babbler","Mixornis gularis"
"Swamp Francolin","Ortygornis gularis"
"Thick-billed Warbler","Arundinax aedon"
"Velvet-fronted Nuthatch","Sitta frontalis"
"White-browed Scimitar-Babbler","Pomatorhinus schisticeps"
"White-browed Piculet","Sasia ochracea"
"White-rumped Munia","Lonchura striata"
"White-spectacled Warbler","Phylloscopus intermedius"
"White-throated Bulbul","Alophoixus flaveolus"
"Great Myna","Acridotheres grandis"
"Woolly-necked Stork","Ciconia episcopus"
"Changeable Hawk-Eagle","Nisaetus cirrhatus"
"Yellow-bellied Warbler","Abroscopus superciliaris"
"Zitting Cisticola","Cisticola juncidis"
"Black Francolin","Francolinus francolinus"
"Collared Treepie","Dendrocitta frontalis"
"Eurasian Moorhen","Gallinula chloropus"
"Cotton Pygmy-Goose","Nettapus coromandelianus"
"Collared Scops-Owl","Otus lettia"
"Forest Wagtail","Dendronanthus indicus"
"Long-tailed Minivet","Pericrocotus ethologus"
"Pale-headed Woodpecker","Gecinulus grantia"
"Red-necked Falcon","Falco chicquera"
"Russet Sparrow","Passer cinnamomeus"
"Small Minivet","Pericrocotus cinnamomeus"
"Ruff","Calidris pugnax"
"Temminck's Stint","Calidris temminckii"
"Plain Prinia","Prinia inornata"
"Black-winged Kite","Elanus caeruleus"
"Black Baza","Aviceda leuphotes"
"Greenish Warbler","Phylloscopus trochiloides"
"White-browed Wagtail","Motacilla maderaspatensis"
"White-throated Fantail","Rhipidura albicollis"
"Yellow-browed Warbler","Phylloscopus inornatus"
"Dark-sided Flycatcher","Muscicapa sibirica"
"Common Green-Magpie","Cissa chinensis"
"Gray Wagtail","Motacilla cinerea"
"Lesser Necklaced Laughingthrush","Garrulax monileger"
"Rufous Woodpecker","Micropternus brachyurus"
"Indian Grassbird","Graminicola bengalensis"
"Blyth's Reed Warbler","Acrocephalus dumetorum"
"Blyth's Pipit","Anthus godlewskii"
"Hen Harrier","Circus cyaneus"
"Plaintive Cuckoo","Cacomantis merulinus"
"Sand Lark","Alaudala raytal"
"Spotted Bush Warbler","Locustella thoracica"
"Striated Babbler","Argya earlei"
"Watercock","Gallicrex cinerea"
"Eurasian Marsh-Harrier","Circus aeruginosus"
"Asian Stubtail","Urosphena squameiceps"
"Black-headed Bulbul","Brachypodius melanocephalos"
"Brown-cheeked Fulvetta","Alcippe poioicephala"
"Cachar Bulbul","Iole cacharensis"
"Fulvous Whistling-Duck","Dendrocygna bicolor"
"Golden-crested Myna","Ampeliceps coronatus"
"Great Slaty Woodpecker","Mulleripicus pulverulentus"
"Large Scimitar-Babbler","Erythrogenys hypoleucos"
"Large-billed Leaf Warbler","Phylloscopus magnirostris"
"Lesser Yellownape","Picus chlorolophus"
"Nepal Fulvetta","Alcippe nipalensis"
"Oriental Scops-Owl","Otus sunia"
"Ashy-headed Green-Pigeon","Treron phayrei"
"Red-headed Trogon","Harpactes erythrocephalus"
"Silver-breasted Broadbill","Serilophus lunatus"
"Thick-billed Green-Pigeon","Treron curvirostra"
"Van Hasselt's Sunbird","Leptocoma brasiliana"
"Vernal Hanging-Parrot","Loriculus vernalis"
"White-bellied Erpornis","Erpornis zantholeuca"
"Long-legged Buzzard","Buteo rufinus"
"White-rumped Vulture","Gyps bengalensis"
"Black-headed Gull","Chroicocephalus ridibundus"
"Bluethroat","Luscinia svecica"
"Slaty-breasted Rail","Lewinia striata"
"Common Cuckoo","Cuculus canorus"
"Indian Cormorant","Phalacrocorax fuscicollis"
"Northern Lapwing","Vanellus vanellus"
"Rock Pigeon","Columba livia"
"Wood Sandpiper","Tringa glareola"
"Australasian Grass-Owl","Tyto longimembris"
"Black-breasted Parrotbill","Paradoxornis flavirostris"
"Gray-cheeked Warbler","Phylloscopus poliogenys"
"Oriental Hobby","Falco severus"
"Slaty-backed Forktail","Enicurus schistaceus"
"Streaked Wren-Babbler","Gypsophila brevicaudata"
"Sultan Tit","Melanochlora sultanea"
"Whistler's Warbler","Phylloscopus whistleri"
"White-winged Duck","Asarcornis scutulata"
